feature,importance,target
poly_coeff_0,0.030416394,cobb_angle_1
poly_coeff_1,0.0335559,cobb_angle_1
poly_coeff_2,0.03368147,cobb_angle_1
poly_coeff_3,0.036467243,cobb_angle_1
poly_coeff_4,0.037217256,cobb_angle_1
poly_coeff_5,0.028504075,cobb_angle_1
poly_coeff_6,0.039450936,cobb_angle_1
poly_coeff_7,0.030604504,cobb_angle_1
max_curvature,0.03723504,cobb_angle_1
mean_curvature,0.36060172,cobb_angle_1
std_curvature,0.046439562,cobb_angle_1
curve_length,0.03139524,cobb_angle_1
max_slope,0.03886643,cobb_angle_1
mean_slope,0.08602456,cobb_angle_1
inflection_points,0.057887763,cobb_angle_1
curve_range_x,0.038971417,cobb_angle_1
curve_range_y,0.032680463,cobb_angle_1
poly_coeff_0,0.009766215,cobb_angle_2
poly_coeff_1,0.010152007,cobb_angle_2
poly_coeff_2,0.010384178,cobb_angle_2
poly_coeff_3,0.011082721,cobb_angle_2
poly_coeff_4,0.009593197,cobb_angle_2
poly_coeff_5,0.008924217,cobb_angle_2
poly_coeff_6,0.011546134,cobb_angle_2
poly_coeff_7,0.010972678,cobb_angle_2
max_curvature,0.010799462,cobb_angle_2
mean_curvature,0.028508516,cobb_angle_2
std_curvature,0.010888727,cobb_angle_2
curve_length,0.010219088,cobb_angle_2
max_slope,0.011814206,cobb_angle_2
mean_slope,0.7956123,cobb_angle_2
inflection_points,0.020180168,cobb_angle_2
curve_range_x,0.016344678,cobb_angle_2
curve_range_y,0.013211558,cobb_angle_2
poly_coeff_0,0.03512443,cobb_angle_3
poly_coeff_1,0.033313937,cobb_angle_3
poly_coeff_2,0.030950623,cobb_angle_3
poly_coeff_3,0.032549415,cobb_angle_3
poly_coeff_4,0.03059572,cobb_angle_3
poly_coeff_5,0.02932626,cobb_angle_3
poly_coeff_6,0.03070319,cobb_angle_3
poly_coeff_7,0.030257883,cobb_angle_3
max_curvature,0.03810594,cobb_angle_3
mean_curvature,0.13124213,cobb_angle_3
std_curvature,0.033871885,cobb_angle_3
curve_length,0.03682781,cobb_angle_3
max_slope,0.040851526,cobb_angle_3
mean_slope,0.349453,cobb_angle_3
inflection_points,0.037966065,cobb_angle_3
curve_range_x,0.045599036,cobb_angle_3
curve_range_y,0.033261143,cobb_angle_3
